"Id","name_clean","PAIS","perc_occ_country","threshold","cumple","RankcA3","NormcA3"
"64",9112,"Espeletia formosa","COLOMBIA",1,0.3,"Yes",1,1
"65",6660,"Espeletia funckii","COLOMBIA",0.307692307692308,1.3,"Yes",1,0.25
"66",6813,"Espeletia funckii","COLOMBIA",0.307692307692308,1.3,"Yes",1,0.25
"67",6814,"Espeletia funckii","COLOMBIA",0.153846153846154,1.3,"Yes",2,0.5
"68",8803,"Espeletia glandulosa","COLOMBIA",0.151898734177215,7.9,"Yes",1,0.166666666666667
"69",9106,"Espeletia glandulosa","COLOMBIA",0.139240506329114,7.9,"Yes",2,0.333333333333333
"70",9408,"Espeletia glandulosa","COLOMBIA",0.113924050632911,7.9,"Yes",3,0.5
"71",15189,"Espeletia idroboi","COLOMBIA",0.333333333333333,1.2,"Yes",2,0.666666666666667
"72",15951,"Espeletia idroboi","COLOMBIA",0.5,1.2,"Yes",1,0.333333333333333
"73",9105,"Espeletia incana","COLOMBIA",0.107142857142857,2.8,"Yes",2,0.285714285714286
"74",9106,"Espeletia incana","COLOMBIA",0.392857142857143,2.8,"Yes",1,0.142857142857143
"75",9258,"Espeletia incana","COLOMBIA",0.107142857142857,2.8,"Yes",2,0.285714285714286
"76",9568,"Espeletia incana","COLOMBIA",0.107142857142857,2.8,"Yes",2,0.285714285714286
"77",7121,"Espeletia insignis","COLOMBIA",0.25,0.4,"Yes",2,0.666666666666667
"78",7274,"Espeletia insignis","COLOMBIA",0.75,0.4,"Yes",1,0.333333333333333
"79",8959,"Espeletia jaramilloi","COLOMBIA",0.307692307692308,1.3,"Yes",1,0.166666666666667
"80",9110,"Espeletia jaramilloi","COLOMBIA",0.153846153846154,1.3,"Yes",3,0.5
"81",9263,"Espeletia jaramilloi","COLOMBIA",0.230769230769231,1.3,"Yes",2,0.333333333333333
"82",12458,"Espeletia miradorensis","COLOMBIA",1,0.1,"Yes",1,1
"83",8954,"Espeletia nemekenei","COLOMBIA",0.263157894736842,1.9,"Yes",1,0.142857142857143
"84",9106,"Espeletia nemekenei","COLOMBIA",0.157894736842105,1.9,"Yes",2,0.285714285714286
"85",9258,"Espeletia nemekenei","COLOMBIA",0.157894736842105,1.9,"Yes",2,0.285714285714286
"86",9408,"Espeletia nemekenei","COLOMBIA",0.157894736842105,1.9,"Yes",2,0.285714285714286
"87",529,"Espeletia occulta","COLOMBIA",0.106666666666667,7.5,"Yes",2,0.666666666666667
"88",5141,"Espeletia occulta","VENEZUELA",0.133333333333333,7.5,"Yes",1,0.333333333333333
"89",9872,"Espeletia oswaldiana","COLOMBIA",0.181818181818182,1.1,"Yes",2,0.666666666666667
"90",9874,"Espeletia oswaldiana","COLOMBIA",0.727272727272727,1.1,"Yes",1,0.333333333333333
"91",9258,"Espeletia paipana","COLOMBIA",1,0.5,"Yes",1,1
"92",1305,"Espeletia perijaensis","COLOMBIA",0.227272727272727,2.2,"Yes",2,0.333333333333333
"93",1457,"Espeletia perijaensis","COLOMBIA",0.136363636363636,2.2,"Yes",3,0.5
"94",1458,"Espeletia perijaensis","COLOMBIA",0.318181818181818,2.2,"Yes",1,0.166666666666667
"95",9568,"Espeletia pescana","COLOMBIA",0.423076923076923,2.6,"Yes",1,0.333333333333333
"96",9870,"Espeletia pescana","COLOMBIA",0.307692307692308,2.6,"Yes",2,0.666666666666667
"97",8959,"Espeletia pulcherrima","COLOMBIA",0.5,0.2,"Yes",1,0.5
"98",8960,"Espeletia pulcherrima","COLOMBIA",0.5,0.2,"Yes",1,0.5
"99",6359,"Espeletia purpurascens","VENEZUELA",0.235294117647059,1.7,"Yes",1,0.1
"100",6511,"Espeletia purpurascens","COLOMBIA",0.117647058823529,1.7,"Yes",3,0.3
"101",6665,"Espeletia purpurascens","COLOMBIA",0.117647058823529,1.7,"Yes",3,0.3
"102",6665,"Espeletia purpurascens","VENEZUELA",0.235294117647059,1.7,"Yes",1,0.1
"103",6666,"Espeletia purpurascens","VENEZUELA",0.176470588235294,1.7,"Yes",2,0.2
"104",10018,"Espeletia raquirensis","COLOMBIA",1,0.7,"Yes",1,1
"105",5738,"Espeletia roberti","COLOMBIA",0.631578947368421,1.9,"Yes",1,0.333333333333333
"106",6813,"Espeletia roberti","COLOMBIA",0.263157894736842,1.9,"Yes",2,0.666666666666667
"107",6966,"Espeletia rositae","COLOMBIA",0.2,1.5,"Yes",1,0.166666666666667
"108",8802,"Espeletia rositae","COLOMBIA",0.2,1.5,"Yes",1,0.166666666666667
"109",8803,"Espeletia rositae","COLOMBIA",0.133333333333333,1.5,"Yes",2,0.333333333333333
"110",9568,"Espeletia rositae","COLOMBIA",0.133333333333333,1.5,"Yes",2,0.333333333333333
"111",6663,"Espeletia sanchezii","COLOMBIA",0.846153846153846,1.3,"Yes",1,1
"112",17018,"Espeletia schultesiana","COLOMBIA",0.36,2.5,"Yes",1,0.166666666666667
"113",17475,"Espeletia schultesiana","COLOMBIA",0.16,2.5,"Yes",3,0.5
"114",17476,"Espeletia schultesiana","COLOMBIA",0.2,2.5,"Yes",2,0.333333333333333
"115",7427,"Espeletia sclerophylla","COLOMBIA",0.454545454545455,1.1,"Yes",1,0.2
"116",7581,"Espeletia sclerophylla","COLOMBIA",0.181818181818182,1.1,"Yes",2,0.4
"117",9866,"Espeletia sclerophylla","COLOMBIA",0.181818181818182,1.1,"Yes",2,0.4
"118",6663,"Espeletia standleyana","COLOMBIA",0.210526315789474,1.9,"Yes",2,0.222222222222222
"119",6814,"Espeletia standleyana","COLOMBIA",0.157894736842105,1.9,"Yes",3,0.333333333333333
"120",6966,"Espeletia standleyana","COLOMBIA",0.315789473684211,1.9,"Yes",1,0.111111111111111
"121",7427,"Espeletia standleyana","COLOMBIA",0.157894736842105,1.9,"Yes",3,0.333333333333333
