"Id","name_clean","PAIS","perc_occ_ERR","threshold","cumple","RankcA5","NormcA5"
"69",9566,"Espeletia ramosa","COLOMBIA",0.5,0.2,"Yes",1,0.5
"70",9718,"Espeletia ramosa","COLOMBIA",0.5,0.2,"Yes",1,0.5
"71",10018,"Espeletia raquirensis","COLOMBIA",1,0.7,"Yes",1,1
"72",4991,"Espeletia ruizii","VENEZUELA",0.12,2.5,"Yes",3,0.5
"73",4992,"Espeletia ruizii","VENEZUELA",0.68,2.5,"Yes",1,0.166666666666667
"74",5144,"Espeletia ruizii","VENEZUELA",0.16,2.5,"Yes",2,0.333333333333333
"75",6663,"Espeletia sanchezii","COLOMBIA",0.846153846153846,1.3,"Yes",1,1
"76",4995,"Espeletia spectabilis","VENEZUELA",0.714285714285714,2.1,"Yes",1,1
"77",3627,"Espeletia tenorae","VENEZUELA",0.142857142857143,1.4,"Yes",3,0.5
"78",3779,"Espeletia tenorae","VENEZUELA",0.642857142857143,1.4,"Yes",1,0.166666666666667
"79",3932,"Espeletia tenorae","VENEZUELA",0.214285714285714,1.4,"Yes",2,0.333333333333333
"80",9105,"Espeletia tibamoensis","COLOMBIA",0.5,0.2,"Yes",1,0.5
"81",9870,"Espeletia tibamoensis","COLOMBIA",0.5,0.2,"Yes",1,0.5
"82",1305,"Espeletia tillettii","VENEZUELA",1,0.1,"Yes",1,1
"83",6663,"Espeletia trianae","COLOMBIA",1,0.1,"Yes",1,1
"84",2866,"Espeletia ulotricha","VENEZUELA",1,1.5,"Yes",1,1
"85",4996,"Espeletia usubillagae","VENEZUELA",1,0.1,"Yes",1,1
"86",3324,"Espeletia viridis","VENEZUELA",0.2,0.5,"Yes",2,0.666666666666667
"87",3477,"Espeletia viridis","VENEZUELA",0.8,0.5,"Yes",1,0.333333333333333
"88",8953,"Espeletiopsis laxiflora","COLOMBIA",1,0.1,"Yes",1,1
